"CM_PARAM_ATTRIB_ID","CM_PARAM_ID","ATTRIBUTE_NAME","IS_DETAIL","JOIN_COLUMN_NAME","TABLE_NAME","AFFECTED_TS_ID","TIME_SERIES_NAME","IS_CHANGE_IGNORABLE","CONFIG_VERSION_ID","AUDIT_ID"
8,440,PRODUCTION_RATE,1,,PRODUCT~~SOURCE,105,TS105,0,1,125
9,492,ASP_TYPE,0,,PRODUCT,155,TS155,0,1,125
10,527,SOURCE_TYPE,0,,SOURCE,186,TS186,0,1,125
11,536,PRIORITY,0,,PRODUCT,190,TS190,0,1,125
12,552,Min Inventory,1,,PRODUCT~~DC,221,TS221,0,1,125
13,562,TARGET_INVENTORY,1,,PRODUCT~~SOURCE,237,TS237,0,1,125
14,572,MOQ,1,,PRODUCT~~DC,256,TS256,0,1,125
