"ID","CM_ID","TIME_SERIES_NAME","TS_ID","RELATIVE_ORDER","CM_ASSOCIATION","CM_CALCULATION_HORIZON","IS_OVERRIDE","EXPRESSION","EXPRESSION_NAME","RELATIVE_PERIOD_POSITION","CM_CALCULATION_PLANE","RECURSES_ON","MATH_EXPRESSION_TYPE","IS_DEPENDENT_ON_ETL","IS_NDCOUNT_PRESENT","IS_IPERIOD_PRESENT","CALENDAR_SUM_USED","PLANE_ID","TRIGGERING_EVENT","CONFIG_VERSION_ID","AUDIT_ID"
854,1620,TS35,35,87,POST_DEPENDENT,"63",1,value1+value2,xplusy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
855,1621,TS36,36,95,POST_DEPENDENT,"27",1,/* case when (value2) > 0 then */ (value1) / value2 /* else */ 0 /* end */ ,xdividey,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
856,1622,TS37,37,103,POST_DEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
857,1623,TS38,38,111,POST_DEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~ALL~~ALL~~SOURCE,,,0,0,0,0,,,1,125
858,1624,TS39,39,119,POST_DEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
859,1625,TS40,40,127,POST_DEPENDENT,"27",0,value1-value2,xminusy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
860,1626,TS41,41,313,POST_DEPENDENT,"63",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
861,1627,TS42,42,399,POST_DEPENDENT,"27",1,"Scenario(A,value1)",,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
862,1628,TS43,43,422,POST_DEPENDENT,"27",0,value1 - (value2 * value3),xminusymultiz,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
863,1629,TS44,44,556,POST_DEPENDENT,"27",0,/* case when (value1 * value2) > 0.00001 then */ (value1 * value2) / 30 /*else*/ 0 /* end */,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
864,1630,TS45,45,454,POST_INDEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
865,1631,TS46,46,462,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
866,1632,TS47,47,470,POST_DEPENDENT,"63",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
867,1633,TS48,48,478,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
868,1634,TS49,49,486,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
869,1635,TS50,50,494,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
870,1636,TS51,51,5,POST_INDEPENDENT,"27",0,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
871,1637,TS52,52,53,POST_INDEPENDENT,"27",0,value1*value2,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
872,1638,TS53,53,16,POST_INDEPENDENT,"27",0,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
873,1639,TS54,54,25,POST_INDEPENDENT,"63",1,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
874,1640,TS55,55,33,POST_INDEPENDENT,"63",1,value1 * value2 ,xmultipliedy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
875,1641,TS56,56,41,POST_DEPENDENT,"63",0,value1 - value2,xminusy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
876,1642,TS57,57,61,POST_INDEPENDENT,"27",1,value1,xequalsy,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
877,1643,TS58,58,70,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
878,1644,TS59,59,78,POST_INDEPENDENT,"27",1,NA,,0,PRODUCT~~CUSTOMER~~DC~~SOURCE,,,0,0,0,0,,,1,125
879,1645,TS60,60,86,POST_DEPENDENT,"27",1,/* case when (ePeriodId1 = iPeriodId) then */ (value1-value2-value3) /*when (ePeriodId1 > iPeriodId) then */ (value1-value2-value3-value4) /* else */ 0 /* end */,,0,PRODUCT~~ALL~~DC~~SOURCE,,,0,0,0,0,,,1,125
